2019-09-26 22:32:36 - Next day booking reminder 27/09/2019, 15xBookings[1999, 2377, 2619, 3770, 3785, 4095, 4110, 4149, 4241, 4265, 4332, 4333, 4335, 4336, 4339, ]
2019-09-27 22:00:02 - Next day booking reminder 28/09/2019, 0xBookings[]
2019-09-28 22:00:02 - Next day booking reminder 29/09/2019, 1xBookings[174, ]
2019-09-29 22:00:02 - Next day booking reminder 30/09/2019, 0xBookings[]
2019-09-30 22:00:02 - Next day booking reminder 01/10/2019, 0xBookings[]
2019-10-01 22:00:01 - Next day booking reminder 02/10/2019, 0xBookings[]
2019-10-02 22:00:01 - Next day booking reminder 03/10/2019, 0xBookings[]
2019-10-03 22:00:01 - Next day booking reminder 04/10/2019, 0xBookings[]
2019-10-04 22:00:02 - Next day booking reminder 05/10/2019, 0xBookings[]
2019-10-05 22:00:02 - Next day booking reminder 06/10/2019, 0xBookings[]
2019-10-06 22:00:02 - Next day booking reminder 07/10/2019, 0xBookings[]
2019-10-07 22:00:01 - Next day booking reminder 08/10/2019, 0xBookings[]
2019-10-08 22:00:01 - Next day booking reminder 09/10/2019, 0xBookings[]
2019-10-09 22:00:02 - Next day booking reminder 10/10/2019, 0xBookings[]
2019-10-10 22:00:02 - Next day booking reminder 11/10/2019, 0xBookings[]
2019-10-11 22:00:02 - Next day booking reminder 12/10/2019, 0xBookings[]
2019-10-12 22:00:02 - Next day booking reminder 13/10/2019, 0xBookings[]
2019-10-13 22:00:01 - Next day booking reminder 14/10/2019, 0xBookings[]
2019-10-14 22:00:02 - Next day booking reminder 15/10/2019, 0xBookings[]
2019-10-15 22:00:02 - Next day booking reminder 16/10/2019, 0xBookings[]
2019-10-16 22:00:02 - Next day booking reminder 17/10/2019, 0xBookings[]
2019-10-17 22:00:02 - Next day booking reminder 18/10/2019, 0xBookings[]
2019-10-18 22:00:02 - Next day booking reminder 19/10/2019, 0xBookings[]
2019-10-19 22:00:02 - Next day booking reminder 20/10/2019, 0xBookings[]
2019-10-20 22:00:02 - Next day booking reminder 21/10/2019, 0xBookings[]
2019-10-21 22:00:02 - Next day booking reminder 22/10/2019, 0xBookings[]
2019-10-22 22:00:01 - Next day booking reminder 23/10/2019, 0xBookings[]
2019-10-23 22:00:02 - Next day booking reminder 24/10/2019, 0xBookings[]
2019-10-24 22:00:02 - Next day booking reminder 25/10/2019, 0xBookings[]
2019-10-25 22:00:01 - Next day booking reminder 26/10/2019, 0xBookings[]
2019-10-26 22:00:01 - Next day booking reminder 27/10/2019, 0xBookings[]
2019-10-27 23:00:02 - Next day booking reminder 28/10/2019, 0xBookings[]
2019-10-28 23:00:02 - Next day booking reminder 29/10/2019, 0xBookings[]
2019-10-29 23:00:01 - Next day booking reminder 30/10/2019, 0xBookings[]
2019-10-30 23:00:02 - Next day booking reminder 31/10/2019, 0xBookings[]
2019-10-31 23:00:02 - Next day booking reminder 01/11/2019, 0xBookings[]
2019-11-01 23:00:02 - Next day booking reminder 02/11/2019, 0xBookings[]
2019-11-02 23:00:02 - Next day booking reminder 03/11/2019, 0xBookings[]
2019-11-03 23:00:02 - Next day booking reminder 04/11/2019, 0xBookings[]
2019-11-04 23:00:01 - Next day booking reminder 05/11/2019, 0xBookings[]
2019-11-05 23:00:02 - Next day booking reminder 06/11/2019, 0xBookings[]
2019-11-06 23:00:02 - Next day booking reminder 07/11/2019, 0xBookings[]
2019-11-07 23:00:01 - Next day booking reminder 08/11/2019, 0xBookings[]
2019-11-08 23:00:02 - Next day booking reminder 09/11/2019, 0xBookings[]
2019-11-09 23:00:02 - Next day booking reminder 10/11/2019, 0xBookings[]
2019-11-10 23:00:02 - Next day booking reminder 11/11/2019, 0xBookings[]
2019-11-11 23:00:01 - Next day booking reminder 12/11/2019, 0xBookings[]
2019-11-12 23:00:02 - Next day booking reminder 13/11/2019, 0xBookings[]
2019-11-13 23:00:02 - Next day booking reminder 14/11/2019, 0xBookings[]
2019-11-14 23:00:02 - Next day booking reminder 15/11/2019, 0xBookings[]
2019-11-15 23:00:02 - Next day booking reminder 16/11/2019, 0xBookings[]
2019-11-16 23:00:02 - Next day booking reminder 17/11/2019, 0xBookings[]
2019-11-17 23:00:01 - Next day booking reminder 18/11/2019, 0xBookings[]
2019-11-18 23:00:02 - Next day booking reminder 19/11/2019, 0xBookings[]
2019-11-19 23:00:02 - Next day booking reminder 20/11/2019, 0xBookings[]
2019-11-20 23:00:01 - Next day booking reminder 21/11/2019, 0xBookings[]
2019-11-21 23:00:01 - Next day booking reminder 22/11/2019, 0xBookings[]
2019-11-22 23:00:02 - Next day booking reminder 23/11/2019, 0xBookings[]
2019-11-23 23:00:02 - Next day booking reminder 24/11/2019, 0xBookings[]
2019-11-24 23:00:01 - Next day booking reminder 25/11/2019, 0xBookings[]
2019-11-25 23:00:02 - Next day booking reminder 26/11/2019, 0xBookings[]
2019-11-26 23:00:02 - Next day booking reminder 27/11/2019, 0xBookings[]
2019-11-27 23:00:02 - Next day booking reminder 28/11/2019, 0xBookings[]
2019-11-28 23:00:01 - Next day booking reminder 29/11/2019, 0xBookings[]
2019-11-29 23:00:01 - Next day booking reminder 30/11/2019, 0xBookings[]
2019-11-30 23:00:02 - Next day booking reminder 01/12/2019, 0xBookings[]
